TreeID,Year,Aspect,Age_Class,Habitat,N,C,CN
A15P3,1892,North,Mature,Upstream,5.43,628.8473954,115.7584529
A15P3,1897,North,Mature,Upstream,3.81,630.9698472,165.679496
A15P3,1902,North,Mature,Upstream,3.47,584.3425373,168.3154196
A15P3,1907,North,Mature,Upstream,3,595.9862767,198.9890256
A15P3,1912,North,Mature,Upstream,2.94,592.8098461,201.9232442
A15P3,1917,North,Mature,Upstream,2.89,600.2225271,207.3943188
A15P3,1922,North,Mature,Upstream,1.79,555.7994423,310.1351203
A15P3,1927,North,Mature,Upstream,1.87,552.6312323,295.341191
A15P3,1932,North,Mature,Upstream,1.92,554.7433002,289.0358273
A15P3,1937,North,Mature,Upstream,2.03,546.2967592,269.4001065
A15P3,1947,North,Mature,Upstream,1.83,555.7994423,302.9462936
A15P3,1953,North,Mature,Upstream,1.85,546.2967592,295.1538332
A15P3,1958,North,Mature,Upstream,1.97,541.9120104,274.9842945
A15P3,1963,North,Mature,Upstream,1.78,543.9858751,306.1068738
A15P3,1968,North,Mature,Upstream,2.21,537.7661189,243.3914769
A15P3,1972,North,Mature,Upstream,2.09,536.730029,257.2829724
A15P3,1978,North,Mature,Upstream,2.15,542.9488662,252.6185945
A15P3,1982,North,Mature,Upstream,2.43,551.2492266,226.7627839
A15P3,1988,North,Mature,Upstream,1.95,547.097821,281.0340381
A15P3,1993,North,Mature,Upstream,2.5,542.9488662,217.2618307
A15P3,1998,North,Mature,Upstream,2.12,537.7661189,253.737904
A15P3,2005,North,Mature,Upstream,2.61,550.2111454,210.8556908
A15P3,2010,North,Mature,Upstream,3.62,546.0603526,150.938283
A15P3,2015,North,Mature,Upstream,8.92,542.9488662,60.86926451
A17P5,1947,North,Young,Upstream,3.24,556.86,171.8763247
A17P5,1953,North,Young,Upstream,4.19,542.08,129.3230145
A17P5,1958,North,Young,Upstream,2.58,541.02,209.5582453
A17P5,1963,North,Young,Upstream,2.28,556.86,243.94535
A17P5,1968,North,Young,Upstream,2.22,547.35,247.0070057
A17P5,1972,North,Young,Upstream,1.94,554.74,285.6444872
A17P5,1978,North,Young,Upstream,1.74,550.52,316.4658161
A17P5,1982,North,Young,Upstream,1.78,556.86,312.3734152
A17P5,1988,North,Young,Upstream,2.1,546.3,260.6295792
A17P5,1993,North,Young,Upstream,1.66,546.3,329.217688
A17P5,1998,North,Young,Upstream,1.64,557.91,340.357291
A17P5,2005,North,Young,Upstream,1.62,549.46,339.9881523
A17P5,2010,North,Young,Upstream,1.67,549.46,328.4541034
A17P5,2015,North,Young,Upstream,2.06,550.52,267.6973636
A18P1,1972,North,Young,Upstream,2.36,555.23,235.5237299
A18P1,1978,North,Young,Upstream,2.28,547.51,240.5214427
A18P1,1982,North,Young,Upstream,2.48,553.96,223.0308043
A18P1,1988,North,Young,Upstream,1.86,545.76,294.0097891
A18P1,1993,North,Young,Upstream,1.58,557.03,352.4400076
A18P1,1998,North,Young,Upstream,1.5,566.26,377.6199539
A18P1,2005,North,Young,Upstream,2.25,565.23,251.2405686
A18P1,2010,North,Young,Upstream,1.51,566.26,375.0148353
A18P1,2015,North,Young,Upstream,1.69,581.64,343.5954545
A24P1,1897,South,Mature,Upstream,2.05,550.73,268.6487805
A24P1,1902,South,Mature,Upstream,2.32,545.76,235.2503298
A24P1,1902,South,Mature,Upstream,2.32,545.76,235.2503298
A24P1,1907,South,Mature,Upstream,1.56,628.17,402.9313663
A24P1,1912,South,Mature,Upstream,2.65,564.21,212.7261732
A24P1,1912,South,Mature,Upstream,2.65,564.21,212.7261732
A24P1,1917,South,Mature,Upstream,1.34,628.17,467.736411
A24P1,1922,South,Mature,Upstream,2.45,557.03,226.9620948
A24P1,1922,South,Mature,Upstream,2.45,557.03,226.9620948
A24P1,1927,South,Mature,Upstream,1.34,566.96,424.6891386
A24P1,1932,South,Mature,Upstream,1.75,549.86,313.3625131
A24P1,1932,South,Mature,Upstream,1.75,549.86,313.3625131
A24P1,1937,South,Mature,Upstream,1.46,523.67,359.9106529
A24P1,1947,South,Mature,Upstream,1.36,548.93,403.625
A24P1,1953,South,Mature,Upstream,1.41,536.3,379.547063
A24P1,1958,South,Mature,Upstream,1.44,574.17,398.1761442
A24P1,1963,South,Mature,Upstream,1.52,572.37,376.3116371
A24P1,1968,South,Mature,Upstream,1.72,552.54,321.8054747
A24P1,1972,South,Mature,Upstream,1.55,543.52,351.1111111
A24P1,1978,South,Mature,Upstream,1.62,559.75,344.8860136
A24P1,1982,South,Mature,Upstream,1.84,554.34,301.7637452
A24P1,1988,South,Mature,Upstream,1.64,579.57,352.9658952
A24P1,1993,South,Mature,Upstream,2.05,539.91,263.7567171
A24P1,1998,South,Mature,Upstream,2.57,565.16,219.7356143
A24P1,2005,South,Mature,Upstream,2.51,525.47,209.6011169
A24P1,2010,South,Mature,Upstream,3.07,539.91,176.1533442
A24P1,2015,South,Mature,Upstream,6.96,570.57,81.94312796
A24P4,1953,South,Young,Upstream,0.94,600.18,635.6716174
A24P4,1958,South,Young,Upstream,1.77,564.96,319.4799005
A24P4,1963,South,Young,Upstream,1.7,576.01,338.4853181
A24P4,1968,South,Young,Upstream,1.3,563.95,435.3254206
A24P4,1968,South,Young,Upstream,1.3,567.97,437.9110841
A24P4,1972,South,Young,Upstream,1.96,555.92,284.1217854
A24P4,1978,South,Young,Upstream,1.24,555.92,446.6601831
A24P4,1982,South,Young,Upstream,8.64,569.98,66.00352484
A24P4,1988,South,Young,Upstream,1.82,553.92,304.5872843
A24P4,1993,South,Young,Upstream,1.78,560.94,314.9655601
A24P4,1998,South,Young,Upstream,2.32,556.93,240.0728956
A24P4,2005,South,Young,Upstream,3.86,885.56,229.674407
A24P4,2010,South,Young,Upstream,5.74,920.9,160.5172656
A24P4,2015,South,Young,Upstream,6.04,918.82,152.0147013
A25P2,1907,North,Mature,Upstream,1.5,932.55,621.2858095
A25P2,1917,North,Mature,Upstream,2.08,614.77,295.4204709
A25P2,1922,North,Mature,Upstream,1.41,572.41,406.2286749
A25P2,1927,North,Mature,Upstream,1.89,1145.09,605.8677249
A25P2,1932,North,Mature,Upstream,0.99,544.74,551.10635
A25P2,1937,North,Mature,Upstream,2.25,886.6,393.5197514
A25P2,1947,North,Mature,Upstream,1.51,559.31,370.6494367
A25P2,1953,North,Mature,Upstream,1.73,570.93,329.6362587
A25P2,1958,North,Mature,Upstream,1.76,566,321.4082907
A25P2,1963,North,Mature,Upstream,1.86,600.3,323.0893434
A25P2,1968,North,Mature,Upstream,2.17,580.41,267.3468448
A25P2,1972,North,Mature,Upstream,2.03,600.75,295.3539823
A25P2,1978,North,Mature,Upstream,2.02,578.5,286.9543651
A25P2,1982,North,Mature,Upstream,2.1,570.71,272.4152745
A25P2,1988,North,Mature,Upstream,2.6,559.32,215.5375723
A25P2,1993,North,Mature,Upstream,2.88,533.56,185.586087
A25P2,1998,North,Mature,Upstream,3.08,604.89,196.4566418
A25P2,2005,North,Mature,Upstream,3.75,595.67,158.7183586
A25P2,2010,North,Mature,Upstream,4.65,577.76,124.302926
A25P2,2015,North,Mature,Upstream,4.11,355.25,86.41449769
A7P1,1892,North,Mature,Downstream,2.95,574.6,195.0310621
A7P1,1897,North,Mature,Downstream,2.35,588.22,250.5606162
A7P1,1902,North,Mature,Downstream,2.25,569.19,252.4769996
A7P1,1912,North,Mature,Downstream,2.17,574.6,264.3871653
A7P1,1917,North,Mature,Downstream,1.69,589.92,348.4465446
A7P1,1922,North,Mature,Downstream,2.21,569.19,257.1705688
A7P1,1927,North,Mature,Downstream,1.25,563.36,451.0488391
A7P1,1932,North,Mature,Downstream,1.45,580.01,400.4491219
A7P1,1937,North,Mature,Downstream,1.16,573.48,492.6804124
A7P1,1947,North,Mature,Downstream,1.29,583.29,452.8649068
A7P1,1953,North,Mature,Downstream,1.21,581.86,480.478943
A7P1,1958,North,Mature,Downstream,1.5,588.85,392.8285524
A7P1,1963,North,Mature,Downstream,1.37,579.42,422.0101966
A7P1,1968,North,Mature,Downstream,1.34,566.69,422.2727273
A7P1,1972,North,Mature,Downstream,1.41,571.64,406.571835
A7P1,1978,North,Mature,Downstream,1.69,592.34,351.537092
A7P1,1982,North,Mature,Downstream,1.54,576.93,375.1170351
A7P1,1982,North,Mature,Downstream,1.51,572.96,380.2418011
A7P1,1988,North,Mature,Downstream,1.51,572.37,380.3122924
A7P1,1993,North,Mature,Downstream,1.4,531.76,379.557459
A7P1,1998,North,Mature,Downstream,1.56,559.47,359.0949936
A7P1,1998,North,Mature,Downstream,2.68,539.17,200.8899625
A7P1,2005,North,Mature,Downstream,3.42,542.79,158.5251168
A7P1,2010,North,Mature,Downstream,1.71,529.38,308.8564761
A7P1,2015,North,Mature,Downstream,3.31,561.25,169.8184569
A8P4,1907,South,Mature,Downstream,0.96,549.2,571.4880333
A8P4,1912,South,Mature,Downstream,2.62,577.07,220.3730405
A8P4,1917,South,Mature,Downstream,1.34,684.35,512.238024
A8P4,1922,South,Mature,Downstream,0.99,538.89,545.8064844
A8P4,1927,South,Mature,Downstream,1.26,501.41,396.9992082
A8P4,1932,South,Mature,Downstream,2.22,537.86,242.3609377
A8P4,1937,South,Mature,Downstream,1.29,570.41,442.5213344
A8P4,1953,South,Mature,Downstream,1.28,558.31,436.8622848
A8P4,1958,South,Mature,Downstream,1.34,561.81,418.3246463
A8P4,1963,South,Mature,Downstream,1.46,510.93,350.4320988
A8P4,1968,South,Mature,Downstream,1.38,575.18,416.1939219
A8P4,1972,South,Mature,Downstream,1.25,552.77,441.1572227
A8P4,1978,South,Mature,Downstream,1.33,541.85,406.7942943
A8P4,1982,South,Mature,Downstream,1.51,592.91,393.9601329
A8P4,1988,South,Mature,Downstream,1.35,546.36,403.5155096
A8P4,1993,South,Mature,Downstream,1.82,542.1,298.677686
A8P4,1998,South,Mature,Downstream,2.81,537.7,191.3523132
A8P4,2005,South,Mature,Downstream,3.3,617.59,187.4324734
A8P4,2010,South,Mature,Downstream,4.33,854.46,197.517337
A8P4,2015,South,Mature,Downstream,5.15,523.1,101.6122766
B16P1,1897,South,Mature,Upstream,1.56,576.04,369.1331744
B16P1,1902,South,Mature,Upstream,1.35,561.58,414.6269643
B16P1,1907,South,Mature,Upstream,1.48,538.89,363.0650943
B16P1,1912,South,Mature,Upstream,1.98,541.99,274.4103933
B16P1,1917,South,Mature,Upstream,1.39,541.99,390.0978316
B16P1,1922,South,Mature,Upstream,1.42,547.14,386.3907134
B16P1,1927,South,Mature,Upstream,1.58,543.02,344.2914346
B16P1,1932,South,Mature,Upstream,1.52,539.93,356.3262314
B16P1,1937,South,Mature,Upstream,1.78,534.77,299.5991519
B16P1,1947,South,Mature,Upstream,1.5,533.74,356.1728895
B16P1,1953,South,Mature,Upstream,1.3,539.93,414.4783365
B16P1,1958,South,Mature,Upstream,1.79,533.74,298.4166195
B16P1,1963,South,Mature,Upstream,2.56,539.93,210.8897262
B16P1,1968,South,Mature,Upstream,2.52,540.96,214.2572412
B16P1,1972,South,Mature,Upstream,2.9,534.77,184.1892695
B16P1,1982,South,Mature,Upstream,3.01,545.08,181.1814983
B16P1,1988,South,Mature,Upstream,4.12,540.96,131.3846927
B16P1,1993,South,Mature,Upstream,4.21,544.05,129.3643408
B16P1,1998,South,Mature,Upstream,5.55,543.02,97.87992559
B16P1,2005,South,Mature,Upstream,4.78,550.23,115.0976616
B16P1,2010,South,Mature,Upstream,9.88,543.02,54.98047954
B16P1,2015,South,Mature,Upstream,2.49,536.83,215.1766306
B19P1,1947,South,Young,Upstream,1.85,667.96,360.7479218
B19P1,1953,South,Young,Upstream,1.74,557.93,320.3060888
B19P1,1958,South,Young,Upstream,1.22,555.92,454.2087766
B19P1,1963,South,Young,Upstream,1.01,543.89,541.0497238
B19P1,1968,South,Young,Upstream,1.59,551.91,347.0199057
B19P1,1972,South,Young,Upstream,1.36,550.91,404.2196235
B19P1,1978,South,Young,Upstream,1.57,558.93,355.3546777
B19P1,1982,South,Young,Upstream,1.35,549.9,408.8208015
B19P1,1988,South,Young,Upstream,1.94,553.92,285.3045319
B19P1,1993,South,Young,Upstream,2.23,561.95,252.5531098
B19P1,1998,South,Young,Upstream,2.57,555.92,216.2553322
B19P1,2005,South,Young,Upstream,3.25,562.95,173.30665
B19P1,2010,South,Young,Upstream,2.98,547.9,183.5631729
B19P1,2015,South,Young,Upstream,2.17,560.94,258.2660381
