Year,Precip.S,Tmin.S,Tmax.S,Precip.SM,Precip.SM_1,Tmin.SM,Tmax.SM,Precip.F,Precip.F_1,Tmin.F,Tmax.F,Precip.W,Tmin.W,Tmax.W,mean.Tmin,mean.Tmax,mean.Precip
1961,2.7,6.7,19.7,6.2,,8.3,20.4,0.6,,6.1,16.9,0,3.8,19.7,6.23,19.18,2.38
1962,2.8,8,23.6,5.6,6.2,8.5,21.2,1.1,0.6,5.9,20.45,0.1,5.25,19.9,6.91,21.29,2.4
1963,2.7,8.4,23.9,5.2,5.6,8.7,21.7,1.8,1.1,6.75,20.15,0,4.05,20.8,6.98,21.64,2.43
1964,2.9,8.9,23.6,4.5,5.2,8.6,19.2,1.6,1.8,5.85,19.6,0.5,5.05,20.45,7.1,20.71,2.38
1965,2.4,8.1,21.5,5.3,4.5,9.7,22,2.4,1.6,6.3,19.2,1,2.9,21.6,6.75,21.08,2.78
1966,2,8.3,22.3,6.4,5.3,7.8,20.1,1.4,2.4,5.9,19.1,0.8,2.7,19.9,6.18,20.35,2.65
1967,2.6,8.1,21.9,5.8,6.4,8.05,19.5,2.9,1.4,5.7,18.6,1.2,2.2,20,6.01,20,3.13
1968,3.1,7.9,22.3,6.6,5.8,8.2,19,2,2.9,5.4,18.9,0.6,3.8,18.5,6.33,19.68,3.08
1969,0.9,8.7,24.2,6.3,6.6,9.6,19.1,0.7,2,6,19.9,0.5,5.6,19.9,7.48,20.78,2.1
1970,2.5,8.8,23.5,4.8,6.3,8.8,18.7,1.9,0.7,5.6,20.2,0,4.7,19.8,6.98,20.55,2.3
1971,5.9,8.1,22.6,4.3,4.8,8.3,18.3,2.5,1.9,6.2,19.2,0.1,5.1,20.7,6.93,20.2,3.2
1972,2.3,8.9,21.6,5.4,4.3,7.8,18.1,2.4,2.5,7.1,20,0.1,4.4,20,7.05,19.93,2.55
1973,1.7,9.5,22.9,5.2,5.4,8.8,18.5,1.3,2.4,5.7,19,0.2,5.6,21.4,7.4,20.45,2.1
1974,3,8.5,22.5,4.9,5.2,7.6,18.1,0.7,1.3,5.2,19.3,0.5,5.3,20.3,6.65,20.05,2.28
1975,2.9,8.9,22.7,5.4,4.9,8.2,18.3,0.9,0.7,4.9,18.8,0.3,5.3,20.1,6.83,19.98,2.38
1976,2.9,8,22.1,5,5.4,7.9,18.6,2.8,0.9,7,18.3,0.1,4.2,19.5,6.78,19.63,2.7
1977,3,7.7,21.8,4.7,5,8.1,19.6,1.2,2.8,6.1,19.2,0.1,5.8,20.5,6.93,20.28,2.25
1978,2.2,8.7,23.6,3.8,4.7,8.1,19.6,2.5,1.2,6.8,18.8,0.5,4.3,19.2,6.98,20.3,2.25
1979,2,8.4,23.6,5.3,3.8,8.6,19.9,0.9,2.5,5.2,19.9,0.2,4.9,20.3,6.78,20.93,2.1
1980,2.2,8.6,24,4.8,5.3,8.7,20,1.7,0.9,6.2,18.8,1.6,5.2,20,7.18,20.7,2.58
1981,3,8.7,22.3,5.6,4.8,8.9,20.2,1.6,1.7,6,19.2,1.7,4.9,19.1,7.13,20.2,2.98
1982,2.1,9,24.2,3.6,5.6,7.8,18.7,1,1.6,5.9,19.4,0.3,5.6,21,7.08,20.83,1.75
1983,0.8,8.5,24.8,6.9,3.6,9.1,19.6,1,1,6.4,19.2,0.9,3.5,18.4,6.88,20.5,2.4
1984,2.9,8.4,22.5,6.4,6.9,8.5,17.9,0.6,1,5.7,19.8,0.5,4.8,19.8,6.85,20,2.6
1985,2.5,7.8,22.2,4.5,6.4,8,19,1.5,0.6,5.5,19.5,0.3,4.6,20.1,6.48,20.2,2.2
1986,4.5,7.8,23.2,3.1,4.5,8,19.8,1.3,1.5,6.4,19.9,0.1,3.6,20,6.45,20.73,2.25
1987,3.3,8.3,22.4,4,3.1,9.1,20.3,0.9,1.3,5.5,21.3,0.1,4.6,20.6,6.88,21.15,2.08
1988,1.5,8.8,23.8,5.9,4,8.5,19.5,0.9,0.9,5.3,20.7,0.6,4.6,20.5,6.8,21.13,2.23
1989,1.9,7.5,23.1,4.8,5.9,8.5,19.3,1.3,0.9,5.9,19.7,0,3.9,20.3,6.45,20.6,2
1990,2,8.2,22.4,5,4.8,8.5,19.2,2.4,1.3,6,19.6,0.4,5.2,20.1,6.98,20.33,2.45
1991,2.5,9.5,21.9,4.5,5,8.7,19.8,1.6,2.4,6.1,19,0.1,5.7,20.7,7.5,20.35,2.18
1992,2.3,8.1,24.1,4,4.5,8.5,19.4,2.7,1.6,6.3,19.3,2.2,5,18.9,6.98,20.43,2.8
1993,0.7,8.4,23,4,4,8.9,19.9,2,2.7,7,19.9,0.2,5.4,20.3,7.43,20.78,1.73
1994,2.7,8.9,22.9,4.6,4,8.6,19.7,1.3,2,6.7,21.2,0.1,5.6,21.3,7.45,21.28,2.18
1995,1.7,9.9,23.6,4.7,4.6,9.8,20.3,1.6,1.3,6.3,21.1,1.5,5.5,20.9,7.88,21.48,2.38
1996,2.1,7.9,23.6,5.6,4.7,8.7,19.8,1,1.6,5.5,20.2,0.1,3.6,21.3,6.43,21.23,2.2
1997,3.9,7.8,21.9,5,5.6,8,20.2,2.6,1,6.1,19.5,0.2,4.7,21.5,6.65,20.78,2.93
1998,0.4,9.5,26.5,4.3,5,9.3,20.9,1,2.6,6.7,19.5,0.1,3.9,20.6,7.35,21.88,1.45
2001,2.4,8.2,23.1,4.3,4.3,8.2,20.2,1.2,1,4.2,19.8,0.6,4.4,20.9,6.25,21,2.13
2003,2.8,9.5,24,4.1,4.3,9.7,20.6,1.3,1.2,6.9,20,0,4.8,22,7.73,21.65,2.05
2004,2.7,9.4,22.4,5,4.1,9.8,20.3,1.6,1.3,7.3,20.4,0.6,5.4,19.8,7.98,20.73,2.48
2005,2.9,10.7,25.3,5.2,5,10.2,20.2,0.7,1.6,7.5,20.5,0.3,6.3,21.1,8.68,21.78,2.28
2006,1.1,9.5,23.2,6,5.2,9.9,20.1,2,0.7,7.3,19.3,0,6.2,22,8.23,21.15,2.28
2007,1.5,9.9,23.5,5.2,6,9.8,20.4,1,2,6.5,19.9,0.6,7.2,21.2,8.35,21.25,2.08
2008,1.8,10.2,25.8,4.5,5.2,10,20.8,0.7,1,5.7,23.9,0,3.5,26.8,7.35,24.33,1.75
2009,1.4,8.8,24.1,5.9,4.5,9,25.2,1.9,0.7,7.6,27.4,0.2,5.1,22.6,7.63,24.83,2.35
2010,1.5,10,32,5.8,5.9,10.3,27.8,0.6,1.9,7,28,3.3,6.1,26.2,8.35,28.5,2.8
2011,2.6,9.5,32.4,5.2,5.8,9.6,27.2,1.3,0.6,6.4,27.9,0,5.8,28.9,7.83,29.1,2.28
2012,1.6,8.6,31,4.5,5.2,9.2,27,0.8,1.3,6.5,27.9,0.5,6.1,27.9,7.6,28.45,1.85
2013,2.3,9.8,31.4,3.5,4.5,9.3,27.3,1,0.8,7.1,26.8,0.5,5.5,24.8,7.93,27.58,1.83
2014,2.3,9.3,30.5,4.3,3.5,9.1,22.6,2.3,1,7,27.4,0.9,6.2,28.5,7.9,27.25,2.45
2015,1,9.2,32.3,0.8,4.3,10.8,27,1.7,2.3,8.5,20.7,1.2,6.7,28.1,8.8,27.03,1.18
2016,2.3,10.1,31.9,5.9,0.8,9.7,28.4,1.7,1.7,7.6,27.1,1.3,5.3,26.8,8.18,28.55,2.8
2017,3,9.7,30.7,7,5.9,9.7,27.3,2.5,1.7,9,26.7,0.3,5.8,28.8,8.55,28.38,3.2
