TreeID,Aspect,Habitat,Age_Class,Year,O.µg,d18O
A15P3,North,Upstream,Mature,1892,61.95,21.92
A15P3,North,Upstream,Mature,1898,64.83,24.02
A15P3,North,Upstream,Mature,1902,72.08,24.19
A15P3,North,Upstream,Mature,1908,72.11,22.39
A15P3,North,Upstream,Mature,1912,67.61,22.5
A15P3,North,Upstream,Mature,1918,68.86,24.58
A15P3,North,Upstream,Mature,1922,72.74,23.6
A15P3,North,Upstream,Mature,1928,74.64,20.61
A15P3,North,Upstream,Mature,1932,74.21,22.44
A15P3,North,Upstream,Mature,1938,89.66,21.8
A15P3,North,Upstream,Mature,1948,76.54,22.83
A15P3,North,Upstream,Mature,1952,77.59,27.56
A15P3,North,Upstream,Mature,1958,72.37,25.18
A15P3,North,Upstream,Mature,1962,75.78,23.51
A15P3,North,Upstream,Mature,1968,76.49,23.44
A15P3,North,Upstream,Mature,1972,82.71,22.74
A15P3,North,Upstream,Mature,1978,76.65,22.76
A15P3,North,Upstream,Mature,1982,69.34,23.05
A15P3,North,Upstream,Mature,1985,76.36,25.45
A15P3,North,Upstream,Mature,1988,74.38,22.25
A15P3,North,Upstream,Mature,1992,78.07,23.83
A15P3,North,Upstream,Mature,1995,72.72,23.45
A15P3,North,Upstream,Mature,1998,80.4,23.52
A15P3,North,Upstream,Mature,2002,73.74,22.59
A15P3,North,Upstream,Mature,2005,76.66,23.41
A15P3,North,Upstream,Mature,2007,73.49,23.84
A15P3,North,Upstream,Mature,2010,74.65,25.49
A15P3,North,Upstream,Mature,2015,80.07,24.68
A17P5,North,Upstream,Young,1948,75.59,19.5
A17P5,North,Upstream,Young,1952,81.39,22
A17P5,North,Upstream,Young,1958,81.85,22.35
A17P5,North,Upstream,Young,1962,83.62,24.22
A17P5,North,Upstream,Young,1968,83.7,27.06
A17P5,North,Upstream,Young,1972,82.18,25.25
A17P5,North,Upstream,Young,1978,80.91,25.02
A17P5,North,Upstream,Young,1982,82.78,22.17
A17P5,North,Upstream,Young,1985,82.77,26.12
A17P5,North,Upstream,Young,1988,77.27,24.26
A17P5,North,Upstream,Young,1992,80.91,21.8
A17P5,North,Upstream,Young,1995,82.59,22.64
A17P5,North,Upstream,Young,1998,81.5,24.63
A17P5,North,Upstream,Young,2002,81.32,24.26
A17P5,North,Upstream,Young,2005,82.23,28.01
A17P5,North,Upstream,Young,2007,82.34,25.66
A17P5,North,Upstream,Young,2010,82.16,22.3
A17P5,North,Upstream,Young,2015,85.02,25.18
A18P1,North,Upstream,Young,1972,80.16,21.83
A18P1,North,Upstream,Young,1978,82.42,24.93
A18P1,North,Upstream,Young,1982,81.49,23.31
A18P1,North,Upstream,Young,1985,81.57,20.47
A18P1,North,Upstream,Young,1988,84.69,27.94
A18P1,North,Upstream,Young,1992,83.02,22.23
A18P1,North,Upstream,Young,1995,80.69,21.39
A18P1,North,Upstream,Young,1998,79.67,29.51
A18P1,North,Upstream,Young,2002,84.36,21.53
A18P1,North,Upstream,Young,2005,81.24,27.39
A18P1,North,Upstream,Young,2007,81.06,22.24
A18P1,North,Upstream,Young,2010,80.72,27.15
A18P1,North,Upstream,Young,2015,85.3,20.78
A25P2,North,Upstream,Mature,1908,83.37,20.27
A25P2,North,Upstream,Mature,1908,82.49,23.73
A25P2,North,Upstream,Mature,1912,78.23,21.67
A25P2,North,Upstream,Mature,1918,105.04,26.82
A25P2,North,Upstream,Mature,1918,79.29,23.02
A25P2,North,Upstream,Mature,1922,72.12,23.13
A25P2,North,Upstream,Mature,1928,25.24,23.22
A25P2,North,Upstream,Mature,1928,78.19,24.99
A25P2,North,Upstream,Mature,1932,76.97,24.69
A25P2,North,Upstream,Mature,1938,125.56,23.32
A25P2,North,Upstream,Mature,1938,83.98,24.84
A25P2,North,Upstream,Mature,1948,116.79,25.93
A25P2,North,Upstream,Mature,1948,70.96,22.4
A25P2,North,Upstream,Mature,1952,79.98,25.33
A25P2,North,Upstream,Mature,1952,123.85,24.99
A25P2,North,Upstream,Mature,1958,191.72,24.33
A25P2,North,Upstream,Mature,1962,99.61,26.27
A25P2,North,Upstream,Mature,1968,98.44,27.41
A25P2,North,Upstream,Mature,1968,77.28,22.58
A25P2,North,Upstream,Mature,1972,132.16,24.74
A25P2,North,Upstream,Mature,1978,107,22.38
A25P2,North,Upstream,Mature,1982,102.33,26.24
A25P2,North,Upstream,Mature,1985,64.56,28.43
A25P2,North,Upstream,Mature,1988,109.14,25.48
A25P2,North,Upstream,Mature,1992,52.71,24.89
A25P2,North,Upstream,Mature,1995,25.53,23.09
A25P2,North,Upstream,Mature,1998,36.53,24.06
A25P2,North,Upstream,Mature,2002,23.52,22.6
A25P2,North,Upstream,Mature,2005,77.2,24.93
A25P2,North,Upstream,Mature,2007,95.58,25.48
A25P2,North,Upstream,Mature,2010,101.1,25.16
A25P2,North,Upstream,Mature,2015,59.5,22.98
A7P1,North,Downstream,Mature,1878,66.95,25.23
A7P1,North,Downstream,Mature,1882,69.18,23.17
A7P1,North,Downstream,Mature,1892,85.32,23.99
A7P1,North,Downstream,Mature,1898,73.44,25.12
A7P1,North,Downstream,Mature,1902,78.97,25.59
A7P1,North,Downstream,Mature,1908,70.22,21.72
A7P1,North,Downstream,Mature,1912,79.89,25.02
A7P1,North,Downstream,Mature,1918,80.08,23.83
A7P1,North,Downstream,Mature,1922,77.25,23.72
A7P1,North,Downstream,Mature,1928,80.25,25.2
A7P1,North,Downstream,Mature,1932,76.55,22.08
A7P1,North,Downstream,Mature,1938,89.28,22.31
A7P1,North,Downstream,Mature,1948,70.19,23.93
A7P1,North,Downstream,Mature,1952,77.58,24.74
A7P1,North,Downstream,Mature,1968,86.89,23.88
A7P1,North,Downstream,Mature,1972,80.67,24.33
A7P1,North,Downstream,Mature,1978,72.53,21.95
A7P1,North,Downstream,Mature,1982,72.62,25.77
A7P1,North,Downstream,Mature,1985,75.8,24.99
A7P1,North,Downstream,Mature,1988,79.78,22.9
A7P1,North,Downstream,Mature,2002,77.6,23.7
A7P1,North,Downstream,Mature,2005,86.16,25.14
A24P1,South,Upstream,Mature,1892,80.13,23.34
A24P1,South,Upstream,Mature,1898,88.7,24.515
A24P1,South,Upstream,Mature,1902,86.5,20.84
A24P1,South,Upstream,Mature,1908,85.63,22.385
A24P1,South,Upstream,Mature,1912,104.48,21.97
A24P1,South,Upstream,Mature,1918,94.36,24.69
A24P1,South,Upstream,Mature,1922,95.03,21.66
A24P1,South,Upstream,Mature,1928,89.57,21.38
A24P1,South,Upstream,Mature,1932,74.75,22.27
A24P1,South,Upstream,Mature,1938,71.98,23.2
A24P1,South,Upstream,Mature,1948,79.42,23.27
A24P1,South,Upstream,Mature,1952,116.26,23.76
A24P1,South,Upstream,Mature,1958,99.72,24.545
A24P1,South,Upstream,Mature,1962,74.48,22.945
A24P1,South,Upstream,Mature,1968,36.32,25.66
A24P1,South,Upstream,Mature,1972,77.47,25.175
A24P1,South,Upstream,Mature,1978,91.46,22.605
A24P1,South,Upstream,Mature,1982,84.79,24.525
A24P1,South,Upstream,Mature,1985,73.92,24.865
A24P1,South,Upstream,Mature,1988,90.01,23.77
A24P1,South,Upstream,Mature,1998,78.66,26.62
A24P1,South,Upstream,Mature,2002,85.48,25.06
A24P1,South,Upstream,Mature,2005,81.28,26.18
A24P1,South,Upstream,Mature,2007,84.79,26.1
A24P1,South,Upstream,Mature,2010,73.92,26.89
A24P1,South,Upstream,Mature,2015,90.01,27.96
A24P4,South,Upstream,Young,1948,76.4,22.5
A24P4,South,Upstream,Young,1952,68.14,23.9
A24P4,South,Upstream,Young,1958,79.48,24.94
A24P4,South,Upstream,Young,1962,77.2,22.39
A24P4,South,Upstream,Young,1968,83.94,23.7
A24P4,South,Upstream,Young,1972,81.51,26.14
A24P4,South,Upstream,Young,1978,84.03,20.57
A24P4,South,Upstream,Young,1982,81.53,27.3
A24P4,South,Upstream,Young,1985,79.49,22.64
A24P4,South,Upstream,Young,1988,77.45,21.62
A24P4,South,Upstream,Young,1992,87.01,27.09
A24P4,South,Upstream,Young,1995,81.17,23.25
A24P4,South,Upstream,Young,1998,89.39,27.43
A24P4,South,Upstream,Young,2002,76.81,24.37
A24P4,South,Upstream,Young,2005,82.32,24.3
A24P4,South,Upstream,Young,2007,81.66,22.88
A24P4,South,Upstream,Young,2010,83.48,23.81
A24P4,South,Upstream,Young,2015,100.71,22.9
A8P4,South,Downstream,Mature,1898,72.83,21.69
A8P4,South,Downstream,Mature,1902,76.32,21.1
A8P4,South,Downstream,Mature,1908,87.18,24.36
A8P4,South,Downstream,Mature,1908,77.65,23.89
A8P4,South,Downstream,Mature,1912,80.35,22.41
A8P4,South,Downstream,Mature,1918,69.69,22.46
A8P4,South,Downstream,Mature,1922,90.21,24.85
A8P4,South,Downstream,Mature,1928,79.77,25.32
A8P4,South,Downstream,Mature,1932,79.06,23.15
A8P4,South,Downstream,Mature,1938,95.97,24.99
A8P4,South,Downstream,Mature,1948,76.75,22.82
A8P4,South,Downstream,Mature,1952,71.35,24.04
A8P4,South,Downstream,Mature,1958,99.08,24.18
A8P4,South,Downstream,Mature,1962,90.52,24
A8P4,South,Downstream,Mature,1968,82.51,26.11
A8P4,South,Downstream,Mature,1972,89.13,22.68
A8P4,South,Downstream,Mature,1978,94.57,24.99
A8P4,South,Downstream,Mature,1982,69.91,26.71
A8P4,South,Downstream,Mature,1985,82.1,23.11
A8P4,South,Downstream,Mature,1988,84.28,24.02
A8P4,South,Downstream,Mature,1992,70.42,24.19
A8P4,South,Downstream,Mature,1995,76.21,25.95
A8P4,South,Downstream,Mature,1998,85.47,24.53
A8P4,South,Downstream,Mature,2002,95.15,25.27
A8P4,South,Downstream,Mature,2005,97.67,24.8
A8P4,South,Downstream,Mature,2007,91.59,26.78
A8P4,South,Downstream,Mature,2010,85.45,25.36
A8P4,South,Downstream,Mature,2015,89.5,27.06
B16P1,South,Upstream,Mature,1892,66.57,22.12
B16P1,South,Upstream,Mature,1898,75.64,22.09
B16P1,South,Upstream,Mature,1902,81.69,22.19
B16P1,South,Upstream,Mature,1908,77.95,23.54
B16P1,South,Upstream,Mature,1912,74.11,27.03
B16P1,South,Upstream,Mature,1918,75.99,24.03
B16P1,South,Upstream,Mature,1922,77.68,22.56
B16P1,South,Upstream,Mature,1928,77.18,22.4
B16P1,South,Upstream,Mature,1932,83.43,22.76
B16P1,South,Upstream,Mature,1938,76.98,23.37
B16P1,South,Upstream,Mature,1948,82.43,22.09
B16P1,South,Upstream,Mature,1952,80.17,21.46
B16P1,South,Upstream,Mature,1958,79.06,24.31
B16P1,South,Upstream,Mature,1962,68.37,23.89
B16P1,South,Upstream,Mature,1968,79.68,24.44
B16P1,South,Upstream,Mature,1972,73.71,22.51
B16P1,South,Upstream,Mature,1978,78.4,24.69
B16P1,South,Upstream,Mature,1982,78.73,24.21
B16P1,South,Upstream,Mature,1985,84.4,22.02
B16P1,South,Upstream,Mature,1988,77.37,23.29
B16P1,South,Upstream,Mature,1992,83.03,24.68
B16P1,South,Upstream,Mature,1995,80.57,24.3
B16P1,South,Upstream,Mature,1998,79.39,26.52
B16P1,South,Upstream,Mature,2002,81.85,24.67
B16P1,South,Upstream,Mature,2005,77.5,23.38
B16P1,South,Upstream,Mature,2007,79.29,22.92
B16P1,South,Upstream,Mature,2010,84.43,22.71
B16P1,South,Upstream,Mature,2015,80.64,22.9
B19P1,South,Upstream,Young,1948,74.52,24.88
B19P1,South,Upstream,Young,1952,84.59,23.13
B19P1,South,Upstream,Young,1958,86.76,24.54
B19P1,South,Upstream,Young,1962,85.86,25.38
B19P1,South,Upstream,Young,1968,75.46,23.01
B19P1,South,Upstream,Young,1972,74.77,23.46
B19P1,South,Upstream,Young,1978,71.87,24.61
B19P1,South,Upstream,Young,1982,88.52,24.5
B19P1,South,Upstream,Young,1985,78.23,26.83
B19P1,South,Upstream,Young,1988,74.21,27.07
B19P1,South,Upstream,Young,1992,78.85,25.79
B19P1,South,Upstream,Young,1995,86.65,26.06
B19P1,South,Upstream,Young,1998,86.14,26.31
B19P1,South,Upstream,Young,2002,75.41,24.54
B19P1,South,Upstream,Young,2005,77.42,25.47
B19P1,South,Upstream,Young,2007,34.96,26.54
B19P1,South,Upstream,Young,2010,80.03,24.15
B19P1,South,Upstream,Young,2015,88.46,26.36
